weight_CDM,weight_HRF,weight_CRF,stormSeverity,rainfallSeverity,timeOfDay,threshold,self.evacuated_inside + self.evacuated_outside
0.1,0.6,0.30000000000000004,1,Yellow,Daytime,0.7,3
0.1,0.6,0.30000000000000004,1,Yellow,Daytime,0.7,3
0.1,0.6,0.30000000000000004,1,Yellow,Daytime,0.7,3
0.1,0.6,0.30000000000000004,1,Yellow,Daytime,0.7999999999999999,0
0.1,0.6,0.30000000000000004,1,Yellow,Daytime,0.7999999999999999,0
0.1,0.6,0.30000000000000004,1,Yellow,Daytime,0.7999999999999999,0
0.1,0.6,0.30000000000000004,1,Yellow,Daytime,0.7999999999999999,0
0.1,0.6,0.30000000000000004,1,Yellow,Daytime,0.7999999999999999,0
0.1,0.6,0.30000000000000004,1,Yellow,Daytime,0.8999999999999999,0
0.1,0.6,0.30000000000000004,1,Yellow,Daytime,0.8999999999999999,0
0.1,0.6,0.30000000000000004,1,Yellow,Daytime,0.8999999999999999,0
0.1,0.6,0.30000000000000004,1,Yellow,Daytime,0.8999999999999999,0
0.1,0.6,0.30000000000000004,1,Yellow,Daytime,0.8999999999999999,0
0.1,0.7,0.2,1,Yellow,Daytime,0.7,0
0.1,0.7,0.2,1,Yellow,Daytime,0.7,3
0.1,0.7,0.2,1,Yellow,Daytime,0.7,0
0.1,0.7,0.2,1,Yellow,Daytime,0.7,0
0.1,0.7,0.2,1,Yellow,Daytime,0.7,1
0.1,0.7,0.2,1,Yellow,Daytime,0.7999999999999999,0
0.1,0.7,0.2,1,Yellow,Daytime,0.7999999999999999,0
0.1,0.7,0.2,1,Yellow,Daytime,0.7999999999999999,0
0.1,0.7,0.2,1,Yellow,Daytime,0.7999999999999999,0
0.1,0.7,0.2,1,Yellow,Daytime,0.7999999999999999,0
0.1,0.7,0.2,1,Yellow,Daytime,0.8999999999999999,0
0.1,0.7,0.2,1,Yellow,Daytime,0.8999999999999999,0
0.1,0.7,0.2,1,Yellow,Daytime,0.8999999999999999,0
0.1,0.7,0.2,1,Yellow,Daytime,0.8999999999999999,0
0.1,0.7,0.2,1,Yellow,Daytime,0.8999999999999999,0
